smpl_name,smpl_vertex,opencap_name
C7_smpl,1306,C7_study
LFWT_smpl,3156,L.ASIS_study
LBWT_smpl,3099,L.PSIS_study
Lmeta5_smpl,3318,L_5meta_study
LANK_smpl,3328,L_ankle_study
LHEE_smpl,3387,L_calc_study
LKNE_smpl,1010,L_knee_study
LELSO_smpl,1621,L_lelbow_study
LWRA_smpl,2112,L_lwrist_study
LAKI_smpl,3199,L_mankle_study
LELS_smpl,3013,L_melbow_study
LKNI_smpl,1148,L_mknee_study
LWRB_smpl,2108,L_mwrist_study
Lsh1repla_smpl,1101,L_sh1_study
Lsh2_smpl,1117,L_sh2_study
Lsh3repla_smpl,1474,L_sh3_study
LSHO_smpl,1239,L_shoulder_study
Lthigh1_smpl,874,L_thigh1_study
Lthigh2_smpl,961,L_thigh2_study
Lthigh3_smpl,902,L_thigh3_study
Ltoe_smpl,3303,L_toe_study
RFWT_smpl,6573,r.ASIS_study
RBWT_smpl,6522,r.PSIS_study
rmeta5_smpl,6718,r_5meta_study
RANK_smpl,6727,r_ankle_study
RHEE_smpl,6786,r_calc_study
RKNE_smpl,4495,r_knee_study
RELSO_smpl,5090,r_lelbow_study
RWRA_smpl,5573,r_lwrist_study
RAKI_smpl,6599,r_mankle_study
RELS_smpl,6471,r_melbow_study
RKNI_smpl,4634,r_mknee_study
RWRB_smpl,5568,r_mwrist_study
rsh1repla_smpl,4585,r_sh1_study
rsh2_smpl,4604,r_sh2_study
rsh3repla_smpl,4947,r_sh3_study
RSHO_smpl,4724,r_shoulder_study
rthigh1_smpl,4360,r_thigh1_study
rthigh2_smpl,4445,r_thigh2_study
rthigh3_smpl,4389,r_thigh3_study
rtoe_smpl,6703,r_toe_study
